date,steps,weight,bodyfat,computer,productivity,focus,commits,sleep
2017-05-07,10499,0,0,18821,8627,45,29,0
2017-05-08,10559,0,0,29180,22737,77,2,0
2017-05-09,7437,0,0,12907,8552,66,1,0
2017-05-10,11036,0,0,14015,9169,65,3,0
2017-05-11,5516,0,0,22845,16697,73,30,0
2017-05-12,8276,0,0,31487,25116,79,3,0
2017-05-13,5800,0,0,26753,8297,31,0,0
2017-05-14,9752,0,0,13941,11549,82,40,0
2017-05-15,9898,0,0,27652,23848,86,19,0
2017-05-16,12767,158.29172,19.38,23226,17909,77,6,0
2017-05-17,2684,158.29172,19.38,14978,9270,61,4,0
2017-05-18,13115,158.29172,19.38,16495,13833,83,13,0
2017-05-19,7175,158.29172,19.38,16213,13313,82,2,0
2017-05-20,15440,158.29172,19.38,512,261,0,1,0
2017-05-21,7520,158.29172,19.38,29797,14239,47,4,0
2017-05-22,8740,158.29172,19.38,23967,14021,58,9,0
2017-05-23,12448,158.29172,19.38,25548,16834,65,24,0
2017-05-24,7412,158.29172,19.38,21278,17103,80,25,0
2017-05-25,11883,158.29172,19.38,26243,22539,85,16,0
2017-05-26,13292,158.29172,19.38,20781,16486,79,12,0
2017-05-27,12956,158.29172,19.38,4699,3103,66,0,0
2017-05-28,6780,158.29172,19.38,22110,6658,30,5,0
2017-05-29,6672,158.29172,19.38,25938,18384,70,15,0
2017-05-30,6837,158.29172,19.38,36941,17185,46,18,0
2017-05-31,16352,158.29172,19.38,26201,24217,92,27,0
2017-06-01,10105,158.29172,19.38,21561,19302,89,21,0
2017-06-02,8780,158.29172,19.38,37687,24015,63,38,0
2017-06-03,7640,158.29172,19.38,24356,11853,48,9,0
2017-06-04,8294,158.29172,19.38,18847,12912,68,12,0
2017-06-05,11436,158.29172,19.38,20705,15621,75,40,0
2017-06-06,2225,158.29172,19.38,31176,21535,69,17,0
2017-06-07,6028,158.29172,19.38,26839,21286,79,42,0
2017-06-08,6056,158.29172,19.38,25939,16755,64,13,0
2017-06-09,23008,158.29172,19.38,17354,12777,73,12,0
2017-06-10,11488,158.29172,19.38,14093,9229,65,2,0
2017-06-11,4737,158.29172,19.38,28330,16688,58,7,0
2017-06-12,18688,158.29172,19.38,13381,8887,66,12,0
2017-06-13,11447,158.29172,19.38,35613,26063,73,21,0
2017-06-14,6568,158.29172,19.38,31156,16891,54,8,0
2017-06-15,14468,148.4,19.38,18435,13680,74,24,0
2017-06-16,11576,148.4,19.38,21707,14347,66,7,0
2017-06-17,872,148.4,19.38,24655,12272,49,9,0
2017-06-18,8066,148.4,19.38,33501,22473,67,33,0
2017-06-19,6872,148.4,19.38,25335,14999,59,12,0
2017-06-20,10536,148.4,19.38,19568,17076,87,30,0
2017-06-21,14232,148.4,19.38,14498,11469,79,8,0
2017-06-22,15576,148.4,19.38,18836,16410,87,27,0
2017-06-23,9740,148.4,19.38,22399,15794,70,11,0
2017-06-24,5841,148.4,19.38,30628,14374,46,16,0
2017-06-25,9880,148.4,19.38,14458,7861,54,3,0
2017-06-26,9204,148.4,19.38,14903,11179,75,10,0
2017-06-27,8054,148.4,19.38,22319,19170,85,7,0
2017-06-28,5668,148.4,19.38,20817,16694,80,9,0
2017-06-29,4632,148.4,19.38,18526,15579,84,12,0
2017-06-30,12568,148.4,19.38,32091,29086,90,17,0
2017-07-01,13832,148.4,19.38,15305,11737,76,18,0
2017-07-02,13496,148.4,19.38,28213,22942,81,21,0
2017-07-03,10132,148.4,19.38,8247,6952,84,3,0
2017-07-04,6736,148.4,19.38,20035,13603,67,6,0
2017-07-05,8180,148.4,19.38,40086,35235,87,43,0
2017-07-06,16900,148.4,19.38,26401,21881,82,6,0
2017-07-07,6100,148.4,19.38,21198,17456,82,5,0
2017-07-08,20952,148.4,19.38,14407,12215,84,1,0
2017-07-09,12652,148.4,19.38,14612,12645,86,4,0
2017-07-10,15580,148.4,19.38,22312,18201,81,5,0
2017-07-11,11728,148.4,19.38,18936,13770,72,4,0
2017-07-12,9056,148.4,19.38,31838,24745,77,14,0
2017-07-13,6284,148.4,19.38,26160,20616,78,8,0
2017-07-14,8016,148.4,19.38,25504,22707,89,1,0
2017-07-15,19999,148.4,19.38,11238,8617,76,7,0
2017-07-16,6012,148.4,19.38,15695,13764,87,10,0
2017-07-17,7442,148.4,19.38,21318,17232,80,6,0
2017-07-18,17796,155,19.38,30092,26076,86,25,0
2017-07-19,10708,155,19.38,31089,23358,75,17,0
2017-07-20,12208,155,19.38,28361,23031,81,30,0
2017-07-21,7024,155,19.38,29931,22444,74,10,0
2017-07-22,4112,155,19.38,37772,31508,83,24,0
2017-07-23,13780,155,19.38,23872,18894,79,15,0
2017-07-24,5796,155,19.38,23759,21465,90,15,0
2017-07-25,7014,155,19.38,34770,27629,79,25,0
2017-07-26,13164,155,19.38,36095,26100,72,8,0
2017-07-27,3588,155,19.38,33332,26858,80,13,0
2017-07-28,16784,155,19.38,27831,20740,74,7,0
2017-07-29,8256,155,19.38,21586,11040,51,5,0
2017-07-30,17189,155,19.38,794,704,88,0,0
2017-07-31,10974,155,19.38,20746,14916,71,10,0
2017-08-01,8224,155,18,18438,13054,70,2,0
2017-08-02,5180,155,18,19729,14108,71,19,0
2017-08-03,10460,155,18,31967,25767,80,26,0
2017-08-04,12959,155,17.9,25905,21741,83,36,0
2017-08-05,8572,155,17.9,31119,24891,79,22,0
2017-08-06,7904,155,17.9,30713,22627,73,9,0
2017-08-07,4780,155,17.9,35871,28141,78,24,0
2017-08-08,5588,155,17.9,36525,26757,73,20,0
2017-08-09,11516,155,17.9,36098,26646,73,26,0
2017-08-10,9287,155,17.9,30316,28048,92,3,0
2017-08-11,4672,155,19.7,32766,24023,73,12,0
2017-08-12,6144,155,19.7,36767,20686,56,14,0
2017-08-13,7048,154.99,19.7,40431,32417,80,36,0
2017-08-14,10524,154.99,19.7,11891,10441,87,1,0
2017-08-15,20684,153.3,19.7,81,81,0,2,0
2017-08-16,18580,150.1,19.7,1726,372,21,23,0
2017-08-17,17828,150.1,19.7,14695,9553,65,3,0
2017-08-18,19540,150.1,19.7,20120,15526,77,6,0
2017-08-19,16596,150.1,19.7,36520,13159,36,17,0
2017-08-20,14484,150.1,19.7,20994,16268,77,16,0
2017-08-21,5172,150.1,19.7,16061,13099,81,29,0
2017-08-22,12854,150.1,19.7,47182,41953,88,42,0
2017-08-23,18316,150.1,19.7,18745,13728,73,16,0
2017-08-24,6772,150.1,19.7,29038,23902,82,31,0
2017-08-25,8788,150.1,19.7,35506,33174,93,50,0
2017-08-26,6804,150.1,19.7,21887,21278,97,10,0
2017-08-27,16748,150.1,19.7,25576,20443,79,8,0
2017-08-28,15360,150.1,19.7,15107,10490,69,0,0
2017-08-29,18632,155,19.7,13144,9426,71,15,0
2017-08-30,8048,155,19.7,8582,6570,76,10,0
2017-08-31,16513,155,19.7,24436,18677,76,23,0
2017-09-01,7248,155,19.7,31408,14215,45,9,0
2017-09-02,21436,155,19.7,24486,20570,84,11,0
2017-09-03,6760,155,19.7,327,291,0,0,0
2017-09-04,20020,155,19.7,7621,4134,54,3,0
2017-09-05,9500,158,19.7,23859,21876,91,19,0
2017-09-06,11788,158,19.7,13591,8444,62,3,0
2017-09-07,14016,158,19.7,18142,13474,74,0,0
2017-09-08,21559,158,19.7,19343,14435,74,0,0
2017-09-09,6260,158,19.7,17091,12963,75,5,0
2017-09-10,3784,158,19.7,12614,8977,71,4,0
2017-09-11,8048,158,19.7,30033,26040,86,12,0
2017-09-12,13412,158,19.7,15537,7455,47,1,0
2017-09-13,11068,158,19.7,36948,33592,90,35,0
2017-09-14,5164,158,19.7,30347,25163,82,28,0
2017-09-15,12069,158,19.7,22559,16421,72,15,0
2017-09-16,5472,158,19.7,12840,12034,93,10,0
2017-09-17,15664,163,19.7,15387,12542,81,11,0
2017-09-18,14372,163,19.7,8009,6520,81,4,0
2017-09-19,12556,163,19.7,8781,5757,65,4,0
2017-09-20,9936,163,19.7,15636,13689,87,0,0
2017-09-21,12412,160.2,19.7,11208,7588,67,1,0
2017-09-22,6036,160.2,19.7,25860,22353,86,28,0
2017-09-23,9792,160.2,19.7,14517,12011,82,21,0
2017-09-24,25204,160.2,19.7,13553,8294,61,11,0
2017-09-25,10192,160.2,19.7,23087,17112,74,28,0
2017-09-26,10116,160.2,19.7,14599,8740,59,5,0
